'sequences'   'words'
bnor           abnormal
bnox           obnoxious
boam           Jeroboam
Bobb           Bobbie
bobc           bobcat
bobo           bobolink
Boca           Boca
bodh           bodhisattva
Bodl           Bodleian
Boei           Boeing
bofa           turbofan
bofl           riboflavin
Bogo           Bogota
bogu           bogus
bogy           bogy
bohe           rhombohedral
Bohe           Bohemia
Bohr           Bohr
bohy           carbohydrate
boje           turbojet
boke           Hoboken
Boli           Bolivia
Bolo           Bologna
bols           bolster
Bomb           Bombay
bonf           bonfire
Boni           Boniface
bons           Gibbons
bonz           bonze
boob           booby
boog           boogie
bool           boolean
Boon           Boone
boos           boost
Boot           Bootes
booz           booze
Borg           Borg
Bori           Boris
Born           Borneo
borr           borrow
Borr           Borroughs
bort           abort
boru           carborundum
bosc           stroboscopic
Bosc           Bosch
Bose           Bose
Bosw           Boswell
botc           botch
botf           botfly
boto           lobotomy
Bots           Botswana
Bouc           Boucher
bouc           embouchure
bouf           bouffant
bouq           bouquet
Bour           Bourbaki
bovi           bovine
Bowe           Bowen
bowf           bowfin
bowi           bowie
bows           bowstring
boxc           boxcar
boxw           boxwood
boyc           boycott
Boyc           Boyce
Boyd           Boyd
boyf           boyfriend
boyh           boyhood
boyi           boyish
bpoe           subpoena
bpro           bombproof
Brag           Bragg
brah           Abraham
Bras           Brasilia
Brau           Braun
braw           brawl
bray           bray
brem           bremsstrahlung
Brem           Bremen
Bres           Brest
Brew           Brewster
brey           Aubrey
Bria           Brian
Bric           Brice
Brie           O'Brien
Bril           Brillouin
Brin           Brindisi
brio           salubrious
briq           sobriquet
Broa           Broadway
Broc           Brock
Brog           Broglie
brua           February
bruc           brucellosis
Brue           Bruegel
brue           imbrue
Brum           Brumidi
brup           abrupt
Brus           Brussels
Bryc           Bryce
Bryn           Bryn
bsco           lobscouse
bscu           obscure
bsin           absinthe
BSTJ           BSTJ
bsto           tombstone
bsur           absurd
btai           obtain
bted           indebted
btfu           doubtful
btly           subtly
btor           debtor
bubb           bubble
buco           bucolic
Buda           Budapest
budd           buddy
budo           barbudo
Budw           Budweiser
buga           bugaboo
buge           bugeyed
bugl           bugle
Buic           Buick
Buju           Bujumbura
buke           rebuke
buki           Kabuki
bulg           bulge
Bulg           Bulgaria
bulr           bulrush
bulw           bulwark
bumi           albumin
buna           tribunal
bune           tribune
bunn           bunny
Buns           Bunsen
bunt           bunt
Buny           Bunyan
buqu           Albuquerque
bura           Bujumbura
Burc           Burch
Burk           Burke
Burl           Burlington
buro           Politburo
burp           burp
Buru           Burundi
busa           abusable
busb           busboy
busc           ambuscade
Busc           Busch
Bush           Bushnell
busy           busy
butl           butler
butu           arbutus
butz           kibbutzim
buxo           buxom
buye           buyer
Buzz           Buzzard
bvia           obviate
bvio           obvious
bweb           cobweb
Byer           Byers
bygo           bygone
byla           bylaw
byli           byline
bypr           byproduct
Byrd           Byrd
byri           labyrinth
Byrn           Byrne
byro           byroad
bysa           babysat
bysh           Derbyshire
bysm           abysmal
byst           bystander
bywa           byway
bywo           byword
C&GS           USC&GS
cabd           cabdriver
Cabe           McCabe
Cabo           Cabot
caca           cacao
cack           cackle
CACM           CACM
cAda           McAdams
Cadi           Cadillac
cadm           cadmium
cado           avocado
Cady           Cady
Caes           Caesar
Cahi           Cahill
caho           cahoot
caim           caiman
Cair           Cairo
cair           cairn
cajo           cajole
Cala           Calais
Calc           Calcutta
Cale           Caleb
Calg           Calgary
Calh           Calhoun
Cali           California
Calk           Calkins
cAll           McAllister
calp           scalp
Calu           Calumet
calv           calve
cama           camaraderie
Camd           Camden
cami           camilla
Camp           Campbell
can'           can't
Canb           Canberra
Canf           Canfield
Cani           Canis
Cann           McCann
Cano           Canoga
cans           canst
Cape           Capetown
capo           capo
Capr           Capricorn
Capu           Caputo
capy           capybara
caqu           macaque
Cara           Caracas
Card           Cardiff
Care           Carey
Carg           Cargill
carm           carmine
Carn           Carnegie
Carp           Carpathia
cars           Scarsdale
Cars           Carson
cArt           MacArthur
Caru           Caruso
caru           Icarus
Casa           Casanova
casb           casbah
Case           Casey
casm           sarcasm
Casp           Caspian
Cata           Catalina
catb           catbird
catf           catfish
catk           catkin
catl           catlike
catn           catnip
cats           catsup
Cats           Catskill
CATV           CATV
cauc           caucus
caug           caught
Caul           McCauley
caup           scaup
Cave           Cavendish
Cavi           Caviness
cavo           cavort
caye           cayenne
Cayl           Cayley
cayu           picayune
Cayu           Cayuga
cbet           Macbeth
cBri           McBride
ccab           impeccable
cCab           McCabe
ccal           baccalaureate
cCan           McCann
ccan           Moroccan
cCau           McCauley
cced           accede
ccee           succeed
ccer           soccer
cchi           zucchini
cchu           Bacchus
ccia           breccia
cCla           McClain
cCle           McClellan
ccli           acclimate
CCNY           CCNY
ccoo           raccoon
cCor           McCormick
cCoy           McCoy
cCra           McCracken
ccra           Accra
ccub           succubus
cCul           McCullough
cDan           McDaniel
cDer           McDermott
cDow           McDowell
ceal           conceal
ceau           Marceau
ceba           voiceband
cebu           spicebush
Cecr           Cecropia
cecr           spacecraft
ceda           cedar
cedi           cedilla
Cedr           Cedric
cege           miscegenation
ceil           ceil
cein           fluorescein
ceip           receipt
Cela           Celanese
celi           celibacy
Celi           Celia
cElr           McElroy
Cels           Celsius
cels           excelsior
Celt           Celtic
cemb           December
cenn           decennial
Ceno           Cenozoic
ceny           larceny
cepa           saucepan
Ceph           Cepheus
cepl           faceplate
cepo           fencepost
Cerb           Cerberus
Cere           Ceres
CERN           CERN
cerp           excerpt
ceru           cerulean
cerv           cervix
Cerv           Cervantes
Cesa           Cesare
cesa           diocesan
cesi           cesium
Cess           Cessna
cesu           spacesuit
ceta           acetate
cetr           racetrack
Cetu           Cetus
ceut           pharmaceutic
Ceyl           Ceylon
Ceza           Cezanne
cFad           McFadden
cFar           McFarland
cGee           McGee
cGil           McGill
cGin           McGinnis
cGov           McGovern
cGow           McGowan
cGui           McGuire
Chab           Chablis
chag           chagrin
Chal           Chalmers
Chao           Chao
chau           chauffeur
chaw           chaw
chba           watchband
chbe           Fischbein
chbi           archbishop
chcr           witchcraft
chdi           archdiocese
chef           chef
chei           Gegenschein
cheq           exchequer
Chey           Cheyenne
chfi           Richfield
chfu           watchful
chge           switchgear
chhe           beachhead
Chia           Chiang
chib           Archibald
chif           chiffon
Chim           Chimique
Chip           Chippendale
Chis           Chisholm
chmo           Richmond
chob           psychobiology
Choc           Choctaw
Chom           Chomsky
Chop           Chopin
Chou           Chou
chov           anchovy
chpa           sketchpad
Chry           Chrysler
chsa           vouchsafe
chsh           dachshund
chsi           Fuchsia
chti           lunchtime
chtr           Peachtree
chuf           chuff
cHug           McHugh
Chun           Chungking
chwe           Schweitzer
chwi           Auschwitz
chya           churchyard
chyl           Aeschylus
cibe           decibel
cicu           fasciculate
cies           species
cily           Sicily
cime           specimen
cimi           scimitar
Cinc           Cincinnati
Cine           Cinerama
cing           arcing
cinq           cinquefoil
cioe           socioeconomic
ciol           sociology
ciom           sociometry
cipe           recipe
Circ           Circe
Citr           Citroen
civa           Percival
ckab           rockabye
ckan           jackanapes
ckas           jackass
ckat           cockatoo
ckaw           rockaway
ckax           pickaxe
cKay           McKay
ckbi           blackbird
ckbr           stockbroker
ckbu           Blackburn
ckci           dickcissel
ckcr           cockcrow
ckda           jackdaw
ckdo           knockdown
ckdr           backdrop
cKee           McKee
ckef           Rockefeller
cKeo           McKeon
cKes           McKesson
ckfe           Blackfeet
ckfi           backfill
